,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA231229C00020000,2023-12-13 20:21:40+00:00,20.0,217.9,232.65,234.35,0.0,0.0,4.0,0,0.500005,True,REGULAR,USD
1,TSLA231229C00040000,2023-11-15 14:44:20+00:00,40.0,201.53,0.0,0.0,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD
2,TSLA231229C00090000,2023-12-07 16:27:18+00:00,90.0,162.32,162.7,164.2,10.550003,6.9513097,1.0,2,2.778323366699219,True,REGULAR,USD
3,TSLA231229C00100000,2023-11-29 14:34:34+00:00,100.0,151.82,152.75,154.25,0.0,0.0,1.0,2,0.500005,True,REGULAR,USD
4,TSLA231229C00115000,2023-12-14 14:41:53+00:00,115.0,130.0,137.95,139.55,0.0,0.0,1.0,7,1.859375703125,True,REGULAR,USD
5,TSLA231229C00120000,2023-12-15 16:38:54+00:00,120.0,131.74,132.95,134.55,5.2500076,4.150532,36.0,12,1.767579287109375,True,REGULAR,USD
6,TSLA231229C00125000,2023-11-29 17:27:30+00:00,125.0,124.6,127.8,129.3,0.0,0.0,4.0,2,1.3906280468749999,True,REGULAR,USD
7,TSLA231229C00130000,2023-12-05 19:15:33+00:00,130.0,109.25,122.85,124.35,0.0,0.0,1.0,4,1.421877890625,True,REGULAR,USD
8,TSLA231229C00135000,2023-12-08 14:59:18+00:00,135.0,107.85,118.0,119.65,0.0,0.0,3.0,22,1.5683615332031249,True,REGULAR,USD
9,TSLA231229C00140000,2023-12-13 16:06:53+00:00,140.0,112.98,112.85,114.35,20.980003,22.804352,3.0,44,1.2734411328124997,True,REGULAR,USD
10,TSLA231229C00145000,2023-12-15 20:43:14+00:00,145.0,108.11,108.05,109.3,2.1100006,1.9905666,5.0,25,1.291019169921875,True,REGULAR,USD
11,TSLA231229C00150000,2023-12-15 20:54:26+00:00,150.0,104.05,102.9,104.4,3.75,3.7387836,1.0,246,1.197269638671875,True,REGULAR,USD
12,TSLA231229C00155000,2023-12-15 17:06:56+00:00,155.0,97.89,98.1,99.9,14.190002,16.95341,11.0,6,1.3447298388671873,True,REGULAR,USD
13,TSLA231229C00160000,2023-12-15 17:09:08+00:00,160.0,91.54,92.95,94.45,14.43,18.713526,187.0,32,1.1035201074218752,True,REGULAR,USD
14,TSLA231229C00165000,2023-12-14 17:04:12+00:00,165.0,87.97,87.95,89.35,2.5200043,2.949098,50.0,15,0.99804689453125,True,REGULAR,USD
15,TSLA231229C00170000,2023-12-15 20:28:02+00:00,170.0,83.14,83.15,84.75,2.7699966,3.4465556,20.0,35,1.1015669921875002,True,REGULAR,USD
16,TSLA231229C00175000,2023-12-15 20:54:31+00:00,175.0,79.1,78.05,79.5,11.599998,17.185183,22.0,30,0.954102021484375,True,REGULAR,USD
17,TSLA231229C00180000,2023-12-15 20:22:29+00:00,180.0,72.56,73.0,74.55,1.5599976,2.1971796,13.0,72,0.8906260937499999,True,REGULAR,USD
18,TSLA231229C00185000,2023-12-15 16:11:48+00:00,185.0,68.37,68.2,69.6,1.9400024,2.9203708,61.0,23,0.8798840136718749,True,REGULAR,USD
19,TSLA231229C00190000,2023-12-15 20:44:13+00:00,190.0,63.35,63.05,64.55,2.199997,3.5977054,39.0,218,0.7773459765625,True,REGULAR,USD
20,TSLA231229C00195000,2023-12-15 20:30:11+00:00,195.0,58.13,58.1,59.6,1.8500023,3.28714,23.0,261,0.735354208984375,True,REGULAR,USD
21,TSLA231229C00200000,2023-12-15 20:46:13+00:00,200.0,52.95,53.3,54.5,1.25,2.417795,73.0,299,0.6904327832031252,True,REGULAR,USD
22,TSLA231229C00205000,2023-12-15 20:12:07+00:00,205.0,48.24,48.2,49.65,2.420002,5.281541,37.0,247,0.6367223828125,True,REGULAR,USD
23,TSLA231229C00210000,2023-12-15 20:32:23+00:00,210.0,42.7,43.4,45.0,1.75,4.2735043,97.0,959,0.6372106591796876,True,REGULAR,USD
24,TSLA231229C00215000,2023-12-15 20:42:28+00:00,215.0,38.55,38.5,40.0,2.1699982,5.964811,49.0,799,0.5815471533203125,True,REGULAR,USD
25,TSLA231229C00220000,2023-12-15 20:54:09+00:00,220.0,34.55,33.65,34.8,2.7799988,8.750389,1060.0,951,0.5127001855468749,True,REGULAR,USD
26,TSLA231229C00225000,2023-12-15 20:54:33+00:00,225.0,30.0,28.95,30.1,2.9500008,10.905733,60.0,1188,0.5561567822265626,True,REGULAR,USD
27,TSLA231229C00230000,2023-12-15 20:52:01+00:00,230.0,25.35,24.4,25.4,2.4500008,10.698693,406.0,2632,0.5102588037109376,True,REGULAR,USD
28,TSLA231229C00235000,2023-12-15 20:58:28+00:00,235.0,21.1,20.05,20.95,2.1000004,11.052634,638.0,6758,0.4769339416503906,True,REGULAR,USD
29,TSLA231229C00240000,2023-12-15 20:59:27+00:00,240.0,16.6,16.35,17.05,1.4000006,9.21053,1162.0,7113,0.46753462158203124,True,REGULAR,USD
30,TSLA231229C00245000,2023-12-15 20:59:42+00:00,245.0,12.8,12.8,13.4,0.9899998,8.382724,2406.0,5095,0.45203184692382814,True,REGULAR,USD
31,TSLA231229C00250000,2023-12-15 20:59:50+00:00,250.0,10.0,9.75,9.95,0.9499998,10.497235,9174.0,9311,0.42639733764648446,True,REGULAR,USD
32,TSLA231229C00255000,2023-12-15 20:59:58+00:00,255.0,7.15,7.15,7.4,0.3499999,5.1470575,12651.0,5023,0.4246883703613281,False,REGULAR,USD
33,TSLA231229C00260000,2023-12-15 20:59:55+00:00,260.0,5.25,5.2,5.25,0.3000002,6.06061,34450.0,10489,0.4184628466796875,False,REGULAR,USD
34,TSLA231229C00265000,2023-12-15 20:59:58+00:00,265.0,3.7,3.5,3.8,0.1500001,4.225355,4984.0,7157,0.42615319946289065,False,REGULAR,USD
35,TSLA231229C00270000,2023-12-15 20:59:58+00:00,270.0,2.61,2.6,2.7,0.049999952,1.9531231,12610.0,9802,0.4329890686035156,False,REGULAR,USD
36,TSLA231229C00275000,2023-12-15 20:59:58+00:00,275.0,1.69,1.7,1.86,-0.13999999,-7.6502724,3782.0,4768,0.4371394177246094,False,REGULAR,USD
37,TSLA231229C00280000,2023-12-15 20:59:58+00:00,280.0,1.29,1.28,1.31,-0.00999999,-0.76923007,3848.0,6233,0.446294599609375,False,REGULAR,USD
38,TSLA231229C00285000,2023-12-15 20:59:52+00:00,285.0,0.94,0.91,0.98,0.0,0.0,1992.0,2933,0.46289599609375004,False,REGULAR,USD
39,TSLA231229C00290000,2023-12-15 20:59:22+00:00,290.0,0.7,0.66,0.69,-0.00999999,-1.4084494,1734.0,2510,0.471684970703125,False,REGULAR,USD
